City,State,Year,Count
 San Francisco, CA,2024,164
 Los Angeles, CA,2024,130
 San Jose, CA,2024,63
 Santa Clara, CA,2024,50
 Irvine, CA,2024,46
 Palo Alto, CA,2024,31
 Mountain View, CA,2024,30
 Oakland, CA,2024,29
 Santa Monica, CA,2024,22
 San Francisco Bay Area , CA,2024,19
 Cupertino, CA,2024,18
 Sunnyvale, CA,2024,16
 Fremont, CA,2024,13
San Francisco Bay Area, CA,2023,12
 Los Angeles Metropolitan Area , CA,2024,12
 Redwood City, CA,2024,12
 South San Francisco, CA,2024,11
 Burbank, CA,2024,10
 Pasadena, CA,2024,10
 San Jose, CA,2023,9
Los Angeles Metropolitan Area, CA,2023,7
San Francisco , CA,2024,3
 San Jose State University , CA,2024,1
 Santa Clara County, CA,2024,1
 San Francisco County, CA,2024,1
 Los Angeles County, CA,2024,1
 City and County of San Francisco , CA,2024,1
 Venice, CA,2024,1
Los Angeles , CA,2024,1
